MicroServie,Description,Category,Default DockImage,Popularity (Pull),Base of DockerImage,Type of Docker Content OS,LGPL 2.1.,Priority,Upstream Project,Clear Bundle,Clear Package,Use Case,Owner,Default Docker Size,Clear Docker Size,Bundle Size,Potential Clear Advantage,AUFS Relation,Created At,Filter Type,Logo Url,Operating Systems,Star Count,type,Updated_At, Tag,Is In MicroService.xlsx
adminer,Database management in a single PHP file.,Databases,https://hub.docker.com/_/adminer,10M+,php:7.3-alpine,php,Apache License 2.0 or GPL 2,,,,,,,83.2MB,,,,,2017-04-17T14:43:08.294286Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/adminer.png,linux,232,image,2019-04-01T08:05:59.469389Z,4.7.1-standalone,FALSE
websphere-liberty,Official IBM WebSphere Application Server for Developers Liberty image.,,https://hub.docker.com/_/websphere-liberty,10M+,ibmjava:8-jre,ibmjava,ÿApache License 2.0,,,,,,,623MB,,,,,2018-11-30T01:42:27.015459Z,official,https://user-images.githubusercontent.com/10937106/49304823-4f68e380-f482-11e8-8e01-b0801889219b.png,linux,226,image,2019-04-01T08:06:09.202913Z,19.0.0.3-kernel,FALSE
nats,"NATS is an open-source, high-performance, cloud native messaging system.",Application Services,https://hub.docker.com/_/nats,10M+,scratch,scratch,Apache License 2.0,,,,R-natserv,,,8.08MB,,,,,2017-05-18T02:28:00.688204Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/eba063d9-5a8f-42ed-9807-82d73acccb04-51d1b7a6-60cf-4a57-927a-fdfc3dfaab2f-4cf04214-ad47-4f54-ad62-99cf271a82b3-logo-large.png,,220,image,2019-04-01T08:05:54.464797Z,1.4.1-linux,TRUE
joomla,Joomla! is an open source content management system.,Application Services,https://hub.docker.com/_/joomla,10M+,php:7.1-apache,php,GNU GENERAL PUBLIC LICENSE Version 2.0,,,,,,,415MB,,,,,2016-06-14T21:48:15.343296Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/72fef364-fef8-468e-8427-4f76c9d3cb4e-joomla.png,linux,220,image,2019-04-01T08:06:00.327085Z,3.9.4-apache,FALSE
gradle,Gradle is a build tool with a focus on build automation and support for multi-language development.,Application Frameworks,https://hub.docker.com/_/gradle,10M+,openjdk:8-jdk,openjdk,Apache License 2.0,,,,"gradle
,
gradle-dep",,,725MB,,,,,2017-04-17T16:30:06.391342Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/gradle.png,linux,190,image,2019-04-01T08:05:48.645688Z,5.3.1-jdk8,FALSE
pypy,"PyPy is a fast, compliant alternative implementation of the Python language.",Programming Languages,https://hub.docker.com/_/pypy,10M+,buildpack-deps:jessie,buildpack-deps,The MIT License,,,,pypy,,,962MB,,,,,2016-06-17T22:57:44.765901Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/1d2ebdfc-9d47-472d-b8b5-91db0ec78297-pypy.png,linux,175,image,2019-04-01T08:06:05.862997Z,2.7-7.1.0,FALSE
bash,Bash is the GNU Project's Bourne Again SHell,Programming Languages,https://hub.docker.com/_/bash,10M+,alpine:3.9,alpine,"GNU General Public License, version 3.",,,,"bash
,
bashdb
,
bashate
,
bashlex
,
bash.static
,
bash_kernel
,
bash-completion
,
colcon-bash",,,15.8MB,,,,,2017-04-16T17:33:11.605221Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/bash.png,linux,168,image,2019-04-01T08:06:00.075393Z,5.0.3,FALSE
piwik,Piwik is the leading open-source analytics platform that gives you more than powerful analytics.,Analytics,https://hub.docker.com/_/piwik,10M+,php:7.1-apache,php,GNU General Public License v3,,,,,,,449MB,,,,,2016-06-03T17:44:47.858039Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/6736f825-539b-4a0d-9bff-613036fc75e5-piwik.png,linux,151,image,2019-04-01T08:06:07.993161Z,3.6.0-apache,FALSE
arangodb,"ArangoDB - a distributed database with a flexible data model for documents, graphs, and key-values.",Databases,https://hub.docker.com/_/arangodb,10M+,debian:jessie,debian,ÿApache License 2.0 ,,,,,,,288MB,,,,,2016-06-01T23:27:00.770734Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/079744b5-2546-47ea-ac53-7eb350c59e2e-arangodb.png,linux,148,image,2019-04-01T08:06:09.546998Z,2.8,FALSE
chronograf,Chronograf is a visualization tool for time series data in InfluxDB.,DevOps Tools,https://hub.docker.com/_/chronograf,10M+,debian:stretch-slim,debian,the GNU Affero General Public License,,,,,,,146MB,,,,,2016-06-09T22:55:36.825071Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/fb07f2e4-9168-4a12-a26d-dd421c876e02-chronograf.png,linux,142,image,2019-04-01T08:05:55.538569Z,1.5,TRUE
iojs,io.js is an npm compatible platform originally based on node.js,,https://hub.docker.com/_/iojs,10M+,buildpack-deps:jessie,buildpack-deps,MIT License,,,,,,,649MB,,,,,2018-09-21T18:01:58.014913Z,official,,linux,129,image,2019-04-01T08:06:07.411813Z,1.8.4,FALSE
kapacitor,"Kapacitor is an open source framework for processing, monitoring, and alerting on time series data.",DevOps Tools,https://hub.docker.com/_/kapacitor,10M+,buildpack-deps:stretch-curl,buildpack-deps,MiT License,,,,,,,242MB,,,,,2016-06-09T23:06:38.28968Z,official,https://hub.docker.com/public/images/official/kapacitor.png,linux,124,image,2019-04-01T08:06:08.348416Z,1.4,TRUE
crate,CrateDB is a distributed SQL database handles massive amounts of machine data in real-time.,Databases,https://hub.docker.com/_/crate,10M+,centos:7,centos,Apache License 2.0,,,,,,,651MB,,,,,2016-06-16T00:00:00Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/4866f1d2-12fe-476d-9e16-b63f881ab1f3-765a709b-755c-403a-b9a6-a93cb91c8c2d-9e13af36-433d-4456-84c6-02ec9be5ce71-logo-large.png,linux,121,image,2019-04-01T08:06:10.592721Z,3.2.6,FALSE
